Layer:     LL
Test Case: TC_DDI_ADV_BV_03
Date:      14/12/15
Time:      19:39:12

00:00:00:090819  TX ---> LL_LC_RESET_REQ
00:00:00:587202  RX <--- LL_LC_RESET_CFM
00:00:00:588587  TX ---> LL_LC_SET_TESTER_NAME_REQ
00:00:00:591283  RX <--- LL_LC_SET_TESTER_NAME_CFM
00:00:00:592687  TX ---> LL_LC_SET_DEVICE_ADDRESS_REQ
00:00:00:595172  RX <--- LL_LC_SET_DEVICE_ADDRESS_CFM
00:00:00:596607  TX ---> LL_LC_ADD_REMOTE_DEVICE_ADDRESS_REQ
00:00:00:599088  RX <--- LL_LC_ADD_REMOTE_DEVICE_ADDRESS_CFM
00:00:00:604344          TX ---> HCI_RESET
00:00:00:876515          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_RESET, Status: Success - 0x00)
00:00:00:889321          TX ---> HCI_READ_LOCAL_SUPPORTED_FEATURES
00:00:01:161269          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_READ_LOCAL_SUPPORTED_FEATURES, Status: Success - 0x00)
00:00:01:173281          TX ---> HCI_SET_EVENT_MASK
00:00:01:298084          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_SET_EVENT_MASK, Status: Success - 0x00)
00:00:01:309364          TX ---> HCI_LE_SET_EVENT_MASK
00:00:01:419792          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_EVENT_MASK, Status: Success - 0x00)
00:00:01:431568          TX ---> HCI_READ_BD_ADDR
00:00:01:545337          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_READ_BD_ADDR, Status: Success - 0x00)
00:00:01:558946          TX ---> HCI_LE_SET_ADVERTISING_PARAMETERS
00:00:01:677036          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_ADVERTISING_PARAMETERS, Status: Success - 0x00)
00:00:01:737985          TX ---> HCI_LE_SET_ADVERTISING_DATA
00:00:01:862699          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_ADVERTISING_DATA, Status: Success - 0x00)
00:00:01:876008  TX ---> LL_LC_MONITOR_MODE_REQ
00:00:01:882181          TX ---> HCI_LE_SET_ADVERTISE_ENABLE (Advertise Enable: 0x01)
00:00:02:035072          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_ADVERTISE_ENABLE, Status: Success - 0x00)
00:00:07:197456  RX <--- LL_LC_MONITOR_MODE_CFM
00:00:08:503921          TX ---> HCI_LE_SET_ADVERTISE_ENABLE (Advertise Enable: 0x00)
00:00:08:604725          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_ADVERTISE_ENABLE, Status: Success - 0x00)
00:00:08:616853          TX ---> HCI_LE_SET_ADVERTISING_DATA
00:00:08:738015          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_ADVERTISING_DATA, Status: Success - 0x00)
00:00:08:759546  TX ---> LL_LC_MONITOR_MODE_REQ
00:00:08:768126          TX ---> HCI_LE_SET_ADVERTISE_ENABLE (Advertise Enable: 0x01)
00:00:08:954255          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_ADVERTISE_ENABLE, Status: Success - 0x00)
00:00:13:825400  RX <--- LL_LC_MONITOR_MODE_CFM
00:00:17:666335          TX ---> HCI_LE_SET_ADVERTISE_ENABLE (Advertise Enable: 0x00)
00:00:17:732021          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_ADVERTISE_ENABLE, Status: Success - 0x00)
00:00:17:745605          TX ---> HCI_LE_SET_ADVERTISING_DATA
00:00:17:836490          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_ADVERTISING_DATA, Status: Success - 0x00)
00:00:17:854868  TX ---> LL_LC_MONITOR_MODE_REQ
00:00:17:860996          TX ---> HCI_LE_SET_ADVERTISE_ENABLE (Advertise Enable: 0x01)
00:00:17:992793          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_ADVERTISE_ENABLE, Status: Success - 0x00)
00:00:22:894962  RX <--- LL_LC_MONITOR_MODE_CFM
00:00:27:436570          TX ---> HCI_LE_SET_ADVERTISE_ENABLE (Advertise Enable: 0x00)
00:00:27:515203          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_ADVERTISE_ENABLE, Status: Success - 0x00)
00:00:27:528789          TX ---> HCI_LE_SET_ADVERTISING_DATA
00:00:27:608579          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_ADVERTISING_DATA, Status: Success - 0x00)
00:00:27:622666  TX ---> LL_LC_MONITOR_MODE_REQ
00:00:27:628613          TX ---> HCI_LE_SET_ADVERTISE_ENABLE (Advertise Enable: 0x01)
00:00:27:761110          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_ADVERTISE_ENABLE, Status: Success - 0x00)
00:00:32:670551  RX <--- LL_LC_MONITOR_MODE_CFM
00:00:37:369568          TX ---> HCI_LE_SET_ADVERTISE_ENABLE (Advertise Enable: 0x00)
00:00:37:435540          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_ADVERTISE_ENABLE, Status: Success - 0x00)

Final Verdict: PASS
