Layer:     LL
Test Case: TC_DDI_SCN_BI_02
Date:      14/12/15
Time:      21:46:35

00:00:00:091094  TX ---> LL_LC_RESET_REQ
00:00:00:574621  RX <--- LL_LC_RESET_CFM
00:00:00:575979  TX ---> LL_LC_SET_TESTER_NAME_REQ
00:00:00:578451  RX <--- LL_LC_SET_TESTER_NAME_CFM
00:00:00:580091  TX ---> LL_LC_SET_DEVICE_ADDRESS_REQ
00:00:00:582632  RX <--- LL_LC_SET_DEVICE_ADDRESS_CFM
00:00:00:584050  TX ---> LL_LC_ADD_REMOTE_DEVICE_ADDRESS_REQ
00:00:00:586444  RX <--- LL_LC_ADD_REMOTE_DEVICE_ADDRESS_CFM
00:00:00:591606          TX ---> HCI_RESET
00:00:00:863376          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_RESET, Status: Success - 0x00)
00:00:00:876500          TX ---> HCI_READ_LOCAL_SUPPORTED_FEATURES
00:00:01:133133          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_READ_LOCAL_SUPPORTED_FEATURES, Status: Success - 0x00)
00:00:01:145061          TX ---> HCI_SET_EVENT_MASK
00:00:01:264221          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_SET_EVENT_MASK, Status: Success - 0x00)
00:00:01:275579          TX ---> HCI_LE_SET_EVENT_MASK
00:00:01:398895          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_EVENT_MASK, Status: Success - 0x00)
00:00:01:412431          TX ---> HCI_READ_BD_ADDR
00:00:01:527586          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_READ_BD_ADDR, Status: Success - 0x00)
00:00:01:541169          TX ---> HCI_LE_SET_SCAN_PARAMETERS
00:00:01:655603          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_SCAN_PARAMETERS, Status: Success - 0x00)
00:00:01:666519          TX ---> HCI_LE_SET_SCAN_ENABLE (Scan Enable: 0x01)
00:00:01:807119          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_SCAN_ENABLE, Status: Success - 0x00)
00:00:01:839001  TX ---> LL_LC_ADVERTISE_PARAMETERS_REQ
00:00:01:842626  RX <--- LL_LC_ADVERTISE_PARAMETERS_CFM
00:00:01:848615  TX ---> LL_LC_ADVERTISE_CHANNEL_MAP_REQ
00:00:01:850874  RX <--- LL_LC_ADVERTISE_CHANNEL_MAP_CFM
00:00:01:852445  TX ---> LL_LC_ADVERTISE_DATA_REQ
00:00:01:855462  RX <--- LL_LC_ADVERTISE_DATA_CFM
00:00:01:933359  TX ---> LL_LC_ADVERTISING_MODE_REQ (On/Off: 0x00)
00:00:01:935882  RX <--- LL_LC_ADVERTISING_MODE_CFM
00:00:07:936461  TX ---> LL_LC_ADVERTISING_MODE_REQ (On/Off: 0x01)
00:00:07:938631  RX <--- LL_LC_ADVERTISING_MODE_CFM
00:00:07:941186  TX ---> LL_LC_ADVERTISE_PARAMETERS_REQ
00:00:07:968072  RX <--- LL_LC_ADVERTISE_PARAMETERS_CFM
00:00:07:969152  TX ---> LL_LC_ADVERTISE_CHANNEL_MAP_REQ
00:00:07:972158  RX <--- LL_LC_ADVERTISE_CHANNEL_MAP_CFM
00:00:07:974279  TX ---> LL_LC_ADVERTISE_DATA_REQ
00:00:07:976817  RX <--- LL_LC_ADVERTISE_DATA_CFM
00:00:07:978496  TX ---> LL_LC_ADVERTISING_MODE_REQ (On/Off: 0x00)
00:00:07:981840  RX <--- LL_LC_ADVERTISING_MODE_CFM
00:00:13:982328  TX ---> LL_LC_ADVERTISING_MODE_REQ (On/Off: 0x01)
00:00:13:984486  RX <--- LL_LC_ADVERTISING_MODE_CFM
00:00:13:986169  TX ---> LL_LC_ADVERTISE_PARAMETERS_REQ
00:00:13:991804  RX <--- LL_LC_ADVERTISE_PARAMETERS_CFM
00:00:13:992991  TX ---> LL_LC_ADVERTISE_CHANNEL_MAP_REQ
00:00:13:996143  RX <--- LL_LC_ADVERTISE_CHANNEL_MAP_CFM
00:00:13:998031  TX ---> LL_LC_ADVERTISE_DATA_REQ
00:00:14:000228  RX <--- LL_LC_ADVERTISE_DATA_CFM
00:00:14:001513  TX ---> LL_LC_ADVERTISING_MODE_REQ (On/Off: 0x00)
00:00:14:004802  RX <--- LL_LC_ADVERTISING_MODE_CFM
00:00:20:005198  TX ---> LL_LC_ADVERTISING_MODE_REQ (On/Off: 0x01)
00:00:20:007377  RX <--- LL_LC_ADVERTISING_MODE_CFM
00:00:20:011326          TX ---> HCI_LE_SET_SCAN_ENABLE (Scan Enable: 0x00)
00:00:20:152722          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_SCAN_ENABLE, Status: Success - 0x00)

Final Verdict: PASS
