Layer:     LL
Test Case: TC_DDI_SCN_BV_12
Date:      14/12/15
Time:      21:46:09

00:00:00:114207  TX ---> LL_LC_RESET_REQ
00:00:00:590000  RX <--- LL_LC_RESET_CFM
00:00:00:591360  TX ---> LL_LC_SET_TESTER_NAME_REQ
00:00:00:594048  RX <--- LL_LC_SET_TESTER_NAME_CFM
00:00:00:595439  TX ---> LL_LC_SET_DEVICE_ADDRESS_REQ
00:00:00:597974  RX <--- LL_LC_SET_DEVICE_ADDRESS_CFM
00:00:00:599418  TX ---> LL_LC_ADD_REMOTE_DEVICE_ADDRESS_REQ
00:00:00:601786  RX <--- LL_LC_ADD_REMOTE_DEVICE_ADDRESS_CFM
00:00:00:607465          TX ---> HCI_RESET
00:00:00:878879          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_RESET, Status: Success - 0x00)
00:00:00:891575          TX ---> HCI_READ_LOCAL_SUPPORTED_FEATURES
00:00:01:165058          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_READ_LOCAL_SUPPORTED_FEATURES, Status: Success - 0x00)
00:00:01:177275          TX ---> HCI_SET_EVENT_MASK
00:00:01:320166          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_SET_EVENT_MASK, Status: Success - 0x00)
00:00:01:331616          TX ---> HCI_LE_SET_EVENT_MASK
00:00:01:452278          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_EVENT_MASK, Status: Success - 0x00)
00:00:01:465477          TX ---> HCI_READ_BD_ADDR
00:00:01:578991          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_READ_BD_ADDR, Status: Success - 0x00)
00:00:01:593094          TX ---> HCI_LE_SET_SCAN_PARAMETERS
00:00:01:717026          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_SCAN_PARAMETERS, Status: Success - 0x00)
00:00:01:741377          TX ---> HCI_LE_SET_SCAN_ENABLE (Scan Enable: 0x01)
00:00:01:919157          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_SCAN_ENABLE, Status: Success - 0x00)
00:00:01:935462  TX ---> LL_LC_ADVERTISE_PARAMETERS_REQ
00:00:01:938022  RX <--- LL_LC_ADVERTISE_PARAMETERS_CFM
00:00:01:939363  TX ---> LL_LC_ADVERTISE_CHANNEL_MAP_REQ
00:00:01:942631  RX <--- LL_LC_ADVERTISE_CHANNEL_MAP_CFM
00:00:01:944858  TX ---> LL_LC_ADVERTISE_DATA_REQ
00:00:01:947748  RX <--- LL_LC_ADVERTISE_DATA_CFM
00:00:01:948996  TX ---> LL_LC_ADVERTISING_MODE_REQ (On/Off: 0x00)
00:00:01:952557  RX <--- LL_LC_ADVERTISING_MODE_CFM
00:00:02:199242          RX <--- HCI_LE_ADVERTISING_REPORT_EVENT
00:00:02:202732          TX ---> HCI_LE_SET_SCAN_ENABLE (Scan Enable: 0x00)
00:00:02:208635  TX ---> LL_LC_ADVERTISING_MODE_REQ (On/Off: 0x01)
00:00:02:211170  RX <--- LL_LC_ADVERTISING_MODE_CFM
00:00:02:373858          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_SCAN_ENABLE, Status: Success - 0x00)
00:00:02:391072  TX ---> LL_LC_RESET_REQ
00:00:02:393632  RX <--- LL_LC_RESET_CFM
00:00:02:395074  TX ---> LL_LC_SET_TESTER_NAME_REQ
