Layer:     LL
Test Case: TC_ENC_SCN_BI_01
Date:      14/12/15
Time:      21:47:13

00:00:00:091448  TX ---> LL_LC_RESET_REQ
00:00:00:592854  RX <--- LL_LC_RESET_CFM
00:00:00:594235  TX ---> LL_LC_SET_TESTER_NAME_REQ
00:00:00:596725  RX <--- LL_LC_SET_TESTER_NAME_CFM
00:00:00:598345  TX ---> LL_LC_SET_DEVICE_ADDRESS_REQ
00:00:00:600800  RX <--- LL_LC_SET_DEVICE_ADDRESS_CFM
00:00:00:602249  TX ---> LL_LC_ADD_REMOTE_DEVICE_ADDRESS_REQ
00:00:00:604767  RX <--- LL_LC_ADD_REMOTE_DEVICE_ADDRESS_CFM
00:00:00:609709          TX ---> HCI_RESET
00:00:00:896060          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_RESET, Status: Success - 0x00)
00:00:00:909369          TX ---> HCI_READ_LOCAL_SUPPORTED_FEATURES
00:00:01:179472          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_READ_LOCAL_SUPPORTED_FEATURES, Status: Success - 0x00)
00:00:01:191036          TX ---> HCI_SET_EVENT_MASK
00:00:01:309523          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_SET_EVENT_MASK, Status: Success - 0x00)
00:00:01:320532          TX ---> HCI_LE_SET_EVENT_MASK
00:00:01:437842          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_EVENT_MASK, Status: Success - 0x00)
00:00:01:450985          TX ---> HCI_READ_BD_ADDR
00:00:01:561930          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_READ_BD_ADDR, Status: Success - 0x00)
00:00:01:577027          TX ---> HCI_LE_SET_SCAN_PARAMETERS
00:00:01:692400          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_SCAN_PARAMETERS, Status: Success - 0x00)
00:00:01:713020          TX ---> HCI_LE_SET_SCAN_ENABLE (Scan Enable: 0x01)
00:00:01:904035          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_SCAN_ENABLE, Status: Success - 0x00)
00:00:01:919203  TX ---> LL_LC_ADVERTISE_PARAMETERS_REQ
00:00:01:922830  RX <--- LL_LC_ADVERTISE_PARAMETERS_CFM
00:00:01:924817  TX ---> LL_LC_ADVERTISE_CHANNEL_MAP_REQ
00:00:01:927074  RX <--- LL_LC_ADVERTISE_CHANNEL_MAP_CFM
00:00:01:928389  TX ---> LL_LC_ADVERTISE_DATA_REQ
00:00:01:931755  RX <--- LL_LC_ADVERTISE_DATA_CFM
00:00:01:933819  TX ---> LL_LC_ADVERTISING_MODE_REQ (On/Off: 0x00)
00:00:01:936454  RX <--- LL_LC_ADVERTISING_MODE_CFM
00:00:07:938985  TX ---> LL_LC_ADVERTISING_MODE_REQ (On/Off: 0x01)
00:00:07:941139  RX <--- LL_LC_ADVERTISING_MODE_CFM
00:00:07:946910          TX ---> HCI_LE_SET_SCAN_ENABLE (Scan Enable: 0x00)
00:00:08:076319          RX <--- HCI_COMMAND_COMPLETE_EVENT(HCI_LE_SET_SCAN_ENABLE, Status: Success - 0x00)
00:00:08:093303  TX ---> LL_LC_RESET_REQ
00:00:08:095814  RX <--- LL_LC_RESET_CFM
00:00:08:096977  TX ---> LL_LC_SET_TESTER_NAME_REQ
00:00:08:099394  RX <--- LL_LC_SET_TESTER_NAME_CFM
